"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KZ000035394","KARAGANDA, KZ","1960-03-18","0.00",,"-11","0","-20"
"KZ000035394","KARAGANDA, KZ","1960-03-19","0.00",,"-16","-4","-26"
"KZ000035394","KARAGANDA, KZ","1960-03-20","0.00",,"-3","7","-19"
"KZ000035394","KARAGANDA, KZ","1960-03-21","0.00",,"5","19","1"
"KZ000035394","KARAGANDA, KZ","1960-03-22","0.03",,"3","13","-5"
"KZ000035394","KARAGANDA, KZ","1960-03-23","0.11",,"16","19","11"
"KZ000035394","KARAGANDA, KZ","1960-03-24","0.02",,"19","22","18"
"KZ000035394","KARAGANDA, KZ","1960-03-25","0.02",,"18","24","12"
"KZ000035394","KARAGANDA, KZ","1960-03-26","0.00",,"4","20","-2"
"KZ000035394","KARAGANDA, KZ","1960-03-27","0.02",,"8","15","-1"
"KZ000035394","KARAGANDA, KZ","1960-03-28","0.00",,"4","18","-7"
"KZ000035394","KARAGANDA, KZ","1960-03-29","0.00",,"9","24","-2"
"KZ000035394","KARAGANDA, KZ","1960-03-30","0.00",,"13","26","-3"
"KZ000035394","KARAGANDA, KZ","1960-03-31","0.00",,"13","26","-1"
"KZ000035394","KARAGANDA, KZ","1960-04-01","0.00",,"21","30","10"
"KZ000035394","KARAGANDA, KZ","1960-04-02","0.00",,"29","37","19"
"KZ000035394","KARAGANDA, KZ","1960-04-03","0.00",,"32","39","24"
"KZ000035394","KARAGANDA, KZ","1960-04-04","0.00",,"33","40","28"
"KZ000035394","KARAGANDA, KZ","1960-04-05","0.00",,"32","37","27"
"KZ000035394","KARAGANDA, KZ","1960-04-06","0.41",,"29","33","18"
"KZ000035394","KARAGANDA, KZ","1960-04-07","0.06",,"10","19","6"
"KZ000035394","KARAGANDA, KZ","1960-04-08","0.00",,"11","20","-1"
"KZ000035394","KARAGANDA, KZ","1960-04-09","0.00",,"18","27","11"
"KZ000035394","KARAGANDA, KZ","1960-04-10","0.00",,"16","22","5"
"KZ000035394","KARAGANDA, KZ","1960-04-11","0.01",,"25","31","20"
"KZ000035394","KARAGANDA, KZ","1960-04-12","0.00",,"28","30","27"
"KZ000035394","KARAGANDA, KZ","1960-04-13","0.00",,"29","33","21"
"KZ000035394","KARAGANDA, KZ","1960-04-14","0.00",,"31","42","22"
"KZ000035394","KARAGANDA, KZ","1960-04-15","0.00",,"36","46","27"
"KZ000035394","KARAGANDA, KZ","1960-04-16","0.00",,"38","47","28"
"KZ000035394","KARAGANDA, KZ","1960-04-17","0.00",,"40","48","31"
"KZ000035394","KARAGANDA, KZ","1960-04-18","0.00",,"44","58","33"
"KZ000035394","KARAGANDA, KZ","1960-04-19","0.00",,"50","66","35"
"KZ000035394","KARAGANDA, KZ","1960-04-20","0.01",,"55","70","41"
"KZ000035394","KARAGANDA, KZ","1960-04-21","0.24",,"40","58","35"
"KZ000035394","KARAGANDA, KZ","1960-04-22","0.01",,"38","48","30"
"KZ000035394","KARAGANDA, KZ","1960-04-23","0.00",,"40","50","30"
"KZ000035394","KARAGANDA, KZ","1960-04-24","0.00",,"47","61","33"
"KZ000035394","KARAGANDA, KZ","1960-04-25","0.00",,"53","67","38"
"KZ000035394","KARAGANDA, KZ","1960-04-26","0.00",,"55","68","41"
"KZ000035394","KARAGANDA, KZ","1960-04-27","0.00",,"58","70","45"
"KZ000035394","KARAGANDA, KZ","1960-04-28","0.00",,"58","72","45"
"KZ000035394","KARAGANDA, KZ","1960-04-29","0.12",,"53","66","43"
"KZ000035394","KARAGANDA, KZ","1960-04-30","0.00",,"51","61","40"
"KZ000035394","KARAGANDA, KZ","1960-05-01","0.00",,"34","44","30"
"KZ000035394","KARAGANDA, KZ","1960-05-02","0.00",,"34","44","22"
"KZ000035394","KARAGANDA, KZ","1960-05-03","0.00",,"37","46","26"
"KZ000035394","KARAGANDA, KZ","1960-05-04","0.00",,"40","51","26"
"KZ000035394","KARAGANDA, KZ","1960-05-05","0.00",,"44","57","28"
"KZ000035394","KARAGANDA, KZ","1960-05-06","0.08",,"41","50","31"
"KZ000035394","KARAGANDA, KZ","1960-05-07","0.21",,"44","56","37"
"KZ000035394","KARAGANDA, KZ","1960-05-08","0.21",,"43","49","38"
"KZ000035394","KARAGANDA, KZ","1960-05-09","0.13",,"35","46","32"
"KZ000035394","KARAGANDA, KZ","1960-05-10","0.25",,"37","42","33"
"KZ000035394","KARAGANDA, KZ","1960-05-11","0.22",,"40","44","36"
"KZ000035394","KARAGANDA, KZ","1960-05-12","0.03",,"43","53","33"
"KZ000035394","KARAGANDA, KZ","1960-05-13","0.00",,"45","54","36"
