"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KZ000036870","ALMATY, KZ","1960-03-24","0.00",,"30","43","19"
"KZ000036870","ALMATY, KZ","1960-03-25","0.00",,"37","46","28"
"KZ000036870","ALMATY, KZ","1960-03-26","0.32",,"33","48","29"
"KZ000036870","ALMATY, KZ","1960-03-27","0.28",,"28","31","26"
"KZ000036870","ALMATY, KZ","1960-03-28","0.02",,"25","31","20"
"KZ000036870","ALMATY, KZ","1960-03-29","0.00",,"26","36","21"
"KZ000036870","ALMATY, KZ","1960-03-30","0.00",,"33","45","23"
"KZ000036870","ALMATY, KZ","1960-03-31","0.00",,"33","42","25"
"KZ000036870","ALMATY, KZ","1960-04-01","0.00",,"34","47","25"
"KZ000036870","ALMATY, KZ","1960-04-02","0.00",,"36","50","27"
"KZ000036870","ALMATY, KZ","1960-04-03","0.00",,"43","62","29"
"KZ000036870","ALMATY, KZ","1960-04-04","0.00",,"50","62","42"
"KZ000036870","ALMATY, KZ","1960-04-05","0.28",,"49","60","41"
"KZ000036870","ALMATY, KZ","1960-04-06","0.00",,"52","71","36"
"KZ000036870","ALMATY, KZ","1960-04-07","1.26",,"38","57","33"
"KZ000036870","ALMATY, KZ","1960-04-08","0.87",,"26","33","21"
"KZ000036870","ALMATY, KZ","1960-04-09","0.16",,"20","26","15"
"KZ000036870","ALMATY, KZ","1960-04-10","0.07",,"23","29","18"
"KZ000036870","ALMATY, KZ","1960-04-11","0.00",,"28","38","20"
"KZ000036870","ALMATY, KZ","1960-04-12","0.00",,"33","43","22"
"KZ000036870","ALMATY, KZ","1960-04-13","0.00",,"40","49","31"
"KZ000036870","ALMATY, KZ","1960-04-14","0.00",,"40","52","29"
"KZ000036870","ALMATY, KZ","1960-04-15","0.00",,"44","57","33"
"KZ000036870","ALMATY, KZ","1960-04-16","0.00",,"55","65","45"
"KZ000036870","ALMATY, KZ","1960-04-17","0.00",,"53","65","41"
"KZ000036870","ALMATY, KZ","1960-04-18","0.00",,"55","74","37"
"KZ000036870","ALMATY, KZ","1960-04-19","0.00",,"62","73","49"
"KZ000036870","ALMATY, KZ","1960-04-20","0.00",,"63","70","54"
"KZ000036870","ALMATY, KZ","1960-04-21","0.00",,"58","65","52"
"KZ000036870","ALMATY, KZ","1960-04-22","0.59",,"58","66","52"
"KZ000036870","ALMATY, KZ","1960-04-23","0.33",,"50","57","45"
"KZ000036870","ALMATY, KZ","1960-04-24","0.08",,"51","58","46"
"KZ000036870","ALMATY, KZ","1960-04-25","0.00",,"53","63","43"
"KZ000036870","ALMATY, KZ","1960-04-26","0.00",,"58","71","47"
"KZ000036870","ALMATY, KZ","1960-04-27","0.00",,"62","73","51"
"KZ000036870","ALMATY, KZ","1960-04-28","0.00",,"66","78","54"
"KZ000036870","ALMATY, KZ","1960-04-29","0.00",,"71","81","59"
"KZ000036870","ALMATY, KZ","1960-04-30","0.00",,"71","80","59"
"KZ000036870","ALMATY, KZ","1960-05-01","0.56",,"59","72","55"
"KZ000036870","ALMATY, KZ","1960-05-02","1.23",,"52","57","49"
"KZ000036870","ALMATY, KZ","1960-05-03","0.01",,"45","51","40"
"KZ000036870","ALMATY, KZ","1960-05-04","0.00",,"47","56","36"
"KZ000036870","ALMATY, KZ","1960-05-05","0.00",,"48","53","41"
"KZ000036870","ALMATY, KZ","1960-05-06","0.01",,"50","58","44"
"KZ000036870","ALMATY, KZ","1960-05-07","0.01",,"50","58","42"
"KZ000036870","ALMATY, KZ","1960-05-08","0.15",,"47","53","43"
"KZ000036870","ALMATY, KZ","1960-05-09","0.32",,"50","55","42"
"KZ000036870","ALMATY, KZ","1960-05-10","0.00",,"52","63","41"
"KZ000036870","ALMATY, KZ","1960-05-11","0.00",,"54","62","46"
"KZ000036870","ALMATY, KZ","1960-05-12","0.00",,"54","61","51"
"KZ000036870","ALMATY, KZ","1960-05-13","0.00",,"52","60","44"
"KZ000036870","ALMATY, KZ","1960-05-14","0.20",,"65","73","54"
"KZ000036870","ALMATY, KZ","1960-05-15","0.98",,"51","67","46"
"KZ000036870","ALMATY, KZ","1960-05-16","0.00",,"58","69","47"
"KZ000036870","ALMATY, KZ","1960-05-17","0.00",,"65","76","53"
"KZ000036870","ALMATY, KZ","1960-05-18","0.02",,"68","82","61"
"KZ000036870","ALMATY, KZ","1960-05-19","1.00",,"56","61","54"
"KZ000036870","ALMATY, KZ","1960-05-20","0.87",,"51","57","46"
"KZ000036870","ALMATY, KZ","1960-05-21","0.00",,"54","63","44"
"KZ000036870","ALMATY, KZ","1960-05-22","0.77",,"51","60","46"
"KZ000036870","ALMATY, KZ","1960-05-23","0.07",,"57","65","46"
"KZ000036870","ALMATY, KZ","1960-05-24","0.00",,"64","73","55"
"KZ000036870","ALMATY, KZ","1960-05-25","0.36",,"55","67","45"
"KZ000036870","ALMATY, KZ","1960-05-26","0.62",,"43","45","38"
"KZ000036870","ALMATY, KZ","1960-05-27","0.04",,"46","51","42"
"KZ000036870","ALMATY, KZ","1960-05-28","0.00",,"53","64","43"
"KZ000036870","ALMATY, KZ","1960-05-29","0.01",,"58","71","47"
"KZ000036870","ALMATY, KZ","1960-05-30","0.28",,"66","75","57"
"KZ000036870","ALMATY, KZ","1960-05-31","0.04",,"60","68","49"
"KZ000036870","ALMATY, KZ","1960-06-01","0.00",,"68","81","55"
"KZ000036870","ALMATY, KZ","1960-06-02","0.00",,"77","90","65"
"KZ000036870","ALMATY, KZ","1960-06-03","0.04",,"65","76","60"
"KZ000036870","ALMATY, KZ","1960-06-04","0.32",,"65","74","57"
"KZ000036870","ALMATY, KZ","1960-06-05","0.00",,"72","83","61"
"KZ000036870","ALMATY, KZ","1960-06-06","0.17",,"71","78","63"
"KZ000036870","ALMATY, KZ","1960-06-07","0.39",,"63","70","57"
"KZ000036870","ALMATY, KZ","1960-06-08","0.12",,"64","72","51"
"KZ000036870","ALMATY, KZ","1960-06-09","0.24",,"66","73","55"
"KZ000036870","ALMATY, KZ","1960-06-10","0.01",,"66","74","54"
"KZ000036870","ALMATY, KZ","1960-06-11","0.07",,"67","76","56"
"KZ000036870","ALMATY, KZ","1960-06-12","0.05",,"62","69","52"
"KZ000036870","ALMATY, KZ","1960-06-13","0.00",,"63","70","52"
"KZ000036870","ALMATY, KZ","1960-06-14","0.00",,"66","72","58"
"KZ000036870","ALMATY, KZ","1960-06-15","0.00",,"67","75","56"
"KZ000036870","ALMATY, KZ","1960-06-16","0.00",,"70","80","57"
